Cidade,Categoria,Nome,Rating,Endereço,Tipos,Latitude,Longitude,Total_Reviews,id_unico,Grupo_Tematico,Locais_Semelhantes_Perto,Latitude_Nova,Longitude_Nova,Endereço_Limpo,shrinkage,Rating_Bayes,Nome_Local,Avg_Polarity,Rating_Bayes_norm,Popularity_norm,Sentiment_norm,IGATP
Gondomar,restaurant,Pizzaiolo Gondomar,4.4,"Largo de Santo António 1, 4420-356 S. Cosme, Portugal","restaurant, food, point_of_interest, establishment",41.136647,-8.531627199999999,94,17246322,Serviços,2.0,41.1365383,-8.531918,"Largo de Santo António 1, 4420-356 S. Cosme, Portugal",0.8726569832582193,4.406200392124689,Pizzaiolo Gondomar,0.31189772727272724,0.802091722657561,0.001088832516708946,0.62135030148423,0.4748436188861666
Gondomar,restaurant,Tasca da Tita,4.6,"R. Central de Gens 389, 4515-117 Foz do Sousa, Portugal","restaurant, food, point_of_interest, establishment",41.11376870000001,-8.4849681,535,9d44e88a,Serviços,0.0,41.112985,-8.487329,"R. Central de Gens 389, 4515-117 Foz do Sousa, Portugal",0.9750016700021008,4.596217514591984,Tasca da Tita,0.37723214285714285,0.8806398168447933,0.0061970786855243196,0.6713511297376094,0.5193960084226423
Gondomar,restaurant,Riviera D'Ouro grupo mucaba,4.3,"R. Pinheiro da Saudade 35, 4420-173 Gondomar, Portugal","restaurant, bakery, store, food, point_of_interest, establishment",41.127077,-8.541436899999999,426,b80875e6,Serviços,0.0,41.1285367,-8.5441237,"R. Pinheiro da Saudade 35, 4420-173 Gondomar, Portugal",0.9688049163745426,4.30463841183907,Riviera D'Ouro grupo mucaba,0.02134439634439634,0.7601086640272017,0.0049344962991277755,0.39898805842683394,0.38801040625105443
Gondomar,restaurant,Adega bons amigos,4.3,"R. Vila Nova de Cima 10, 4510-561 Fânzeres, Portugal","restaurant, food, point_of_interest, establishment",41.156058,-8.518405,371,1fbd3d4c,Serviços,0.0,41.1557758,-8.5201763,"R. Vila Nova de Cima 10, 4510-561 Fânzeres, Portugal",0.9643451977765248,4.305301529521086,Adega bons amigos,0.3302777777777778,0.7603827794830504,0.004297413443606584,0.6354166666666666,0.46669895319777455
Gondomar,restaurant,Nortada de Sabores - Tapas Restaurant,4.7,"Praça Manuel Guedes 17, 4420-193 S. Cosme, Portugal","restaurant, food, point_of_interest, establishment",41.1440829,-8.535984,168,55d71a1f,Serviços,0.0,41.1443455,-8.5366743,"Praça Manuel Guedes 17, 4420-193 S. Cosme, Portugal",0.9245144472229454,4.6810297616771,Nortada de Sabores - Tapas Restaurant,0.44799999999999995,0.9156989751236428,0.0019459985405010946,0.7255102040816326,0.5477183925819255
Gondomar,restaurant,O Brasinhas 2,4.2,"R. 25 de Abril 44, 4420-356 Gondomar, Portugal","restaurant, food, point_of_interest, establishment",41.1370787,-8.5318461,1194,bf057eff,Serviços,2.0,41.1409075,-8.5324623,"R. 25 de Abril 44, 4420-356 Gondomar, Portugal",0.9886421994868388,4.202824576818094,O Brasinhas 2,0.3708333333333333,0.7180214952555171,0.01383048962713278,0.666454081632653,0.46610202217176755
Gondomar,restaurant,Onda Tropicália,4.3,"Av. Gen. Humberto Delgado 584, 4420-155 Gondomar, Portugal","restaurant, food, point_of_interest, establishment",41.1489066,-8.5311644,523,85588a79,Serviços,1.0,41.1459077,-8.5319672,"Av. Gen. Humberto Delgado 584, 4420-155 Gondomar, Portugal",0.9744427535619266,4.303800119142994,,0.3556162758333243,0.7597621358154656,0.006058078789774241,0.6548083743622379,0.47354286298915915
Gondomar,restaurant,1001 Ofertas,4.5,"R. Prof. Bismark 116, 4420-283 Gondomar, Portugal","meal_takeaway, restaurant, food, point_of_interest, establishment",41.1438778,-8.5305909,623,49aa1a75,Serviços,1.0,41.1438538,-8.5316264,"R. Prof. Bismark 116, 4420-283 Gondomar, Portugal",0.9784566633652332,4.498894621656001,1001 Ofertas,0.10857142857142857,0.8404090857314681,0.007216411254358226,0.4657434402332361,0.4377896457396874
Gondomar,restaurant,Café Val Chão,4.3,"R. Dos Sete Caminhos 285, 4420-330 S. Cosme, Portugal","cafe, meal_takeaway, store, restaurant, food, point_of_interest, establishment",41.138828,-8.5261655,453,d02fdeee,Serviços,0.0,41.1410515,-8.5250133,"R. Dos Sete Caminhos 285, 4420-330 S. Cosme, Portugal",0.9706095801041532,4.304370075529752,,0.3556162758333243,0.7599977408355203,0.005247246064565452,0.6548083743622379,0.47335112042077454
Gondomar,restaurant,O Cabeças - Armazém das Sandes,4.5,"Av. da Conduta 964, 4435-127 Rio Tinto, Portugal","restaurant, food, point_of_interest, establishment",41.1686758,-8.546367499999999,2297,a02f0f4b,Serviços,0.0,41.1685716,-8.5463387,"Av. da Conduta 964, 4435-127 Rio Tinto, Portugal",0.9940637435002188,4.499695413505785,O Cabeças - Armazém das Sandes,0.38666666666666666,0.8407401120770124,0.026606896711494132,0.6785714285714286,0.515306145786645
Gondomar,restaurant,A Cascata - Parque Nascente,3.4,"Praceta Parque Nascente 522, 4435-840 Gondomar, Portugal","restaurant, food, point_of_interest, establishment",41.174229,-8.5664989,162,d3ef69ff,Serviços,0.0,41.1747423,-8.5654068,"Praceta Parque Nascente 522, 4435-840 Gondomar, Portugal",0.9219369317075556,3.481863996260493,,0.3556162758333243,0.4199953023966765,0.0018764985926260555,0.6548083743622379,0.3588933917838468
Gondomar,restaurant,Casa Ermida,4.6,"R. Pinheiro D'Além 4, 4420-530 Valbom, Portugal","restaurant, meal_takeaway, bar, store, food, point_of_interest, establishment",41.1421115,-8.5544017,909,16be0be1,Serviços,0.0,41.1421037,-8.5544437,"R. Pinheiro D'Além 4, 4420-530 Valbom, Portugal",0.9851341107498168,4.597750649376549,,0.3556162758333243,0.8812735745498677,0.010529242103068423,0.6548083743622379,0.5155370636717247
Gondomar,restaurant,Restaurante A Ponte Do Freixo Lda,4.4,"R. São Miguel 27, 4435-441 Rio Tinto, Portugal","restaurant, food, point_of_interest, establishment",41.1586548,-8.557362699999999,1935,be0e3731,Serviços,0.0,41.1586211,-8.5573734,"R. São Miguel 27, 4435-441 Rio Tinto, Portugal",0.9929610052149024,4.4003427320079895,Restaurante A Ponte Do Freixo Lda,0.5033333333333333,0.7996703196145669,0.022413733189700108,0.7678571428571428,0.5299803985538032
Gondomar,restaurant,Cervejaria Europa,4.5,"R. Vale de Flores 111, 4435-463 Rio Tinto, Portugal","restaurant, food, point_of_interest, establishment",41.17638789999999,-8.5592461,2140,2a9df3d3,Serviços,0.0,41.1761068,-8.558967,"R. Vale de Flores 111, 4435-463 Rio Tinto, Portugal",0.993631006856254,4.499673209994649,Cervejaria Europa,0.481994708994709,0.8407309337279174,0.024788314742097278,0.7515265630061547,0.5390152704920564
Gondomar,restaurant,Monsieur Leitão,5.0,"Av. 25 de Abril 100, 4420-065 Gondomar, Portugal","restaurant, food, point_of_interest, establishment",41.1373092,-8.532395500000002,3,1e0b634d,Serviços,2.0,41.1357169,-8.5336269,"Av. 25 de Abril 100, 4420-065 Gondomar, Portugal",0.17945794158408,4.547627348509032,,0.3556162758333243,0.8605539167295868,3.474997393751955e-05,0.6548083743622379,0.5051323470219208
Gondomar,restaurant,Restaurante São Crispim,4.2,"R. Prof. Camilo de Oliveira 244, S. Cosme, Portugal","restaurant, food, point_of_interest, establishment",41.1254838,-8.523077599999999,63,6ba7f08d,Serviços,0.0,41.123822,-8.5246506,"R. Prof. Camilo de Oliveira 244, S. Cosme, Portugal",0.8211998999138477,4.24446588203333,Restaurante São Crispim,-0.21351190476190474,0.7352349185599805,0.0007297494526879105,0.21925109329446066,0.318405253769043
Gondomar,restaurant,Restaurante 3M,4.2,"R. Dr. Francisco Sá Carneiro 216, 4420-130 S. Cosme, Portugal","restaurant, food, point_of_interest, establishment",41.1442831,-8.530063499999999,159,b50ab332,Serviços,1.0,41.143805,-8.5286848,"R. Dr. Francisco Sá Carneiro 216, 4420-130 S. Cosme, Portugal",0.9205810188972366,4.2197507442290085,Restaurante 3M,0.465,0.7250183288816561,0.001841748618688536,0.7385204081632653,0.48846016188786995
Gondomar,restaurant,Restaurante Toca da Portelinha,4.0,"Rua de Manariz nº5, 4510-599 Fânzeres, Gondomar, Portugal","restaurant, food, point_of_interest, establishment",41.1630219,-8.547082300000001,87,31107c48,Serviços,0.0,41.1592658,-8.5437476,"Rua de Manariz nº5, 4510-599 Fânzeres, Gondomar, Portugal",0.8638064313280599,4.061108757181493,,0.3556162758333243,0.6594398926920297,0.001007749244188067,0.6548083743622379,0.43841867209948526
Gondomar,restaurant,Fiat Lux,5.0,"Tv. Monte Crasto 19, 4420-169 Gondomar, Portugal","restaurant, food, point_of_interest, establishment",41.1406801,-8.5336061,2,ae797f62,Serviços,1.0,41.1407855,-8.5334089,"Tv. Monte Crasto 19, 4420-169 Gondomar, Portugal",0.1272506758398544,4.518844985692185,,0.3556162758333243,0.8486560429163579,2.31666492916797e-05,0.6548083743622379,0.5011625279759625
Gondomar,restaurant,Taberninha Repelão,4.5,"R. do Repelão 395, 4510-649 Venda Nova, Portugal","supermarket, grocery_or_supermarket, bar, store, restaurant, food, point_of_interest, establishment",41.1722359,-8.541407099999999,1086,f4b9228c,Serviços,0.0,41.1728041,-8.5422083,"R. do Repelão 395, 4510-649 Venda Nova, Portugal",0.9875267830246622,4.499360005176622,Taberninha Repelão,0.16,0.8406014630716587,0.012579490565382077,0.5051020408163265,0.4527609981511224
