Parish_Code,Parish,IGATP_Mean,Rating_Bayes_Mean,Popularity_Mean,Sentiment_Mean
010402,Alvarenga,0.5351516098612817,0.8840282820340413,0.007745383079851526,0.7136811644699522
010407,Chave,0.5635999296308449,0.8405312066636419,0.0092029514311197,0.8410656307977735
010409,Escariz,0.5168297244873954,0.7805377594117254,0.0024962064611784595,0.7674552075892822
010413,Mansores,0.503115479122907,0.8306163377091643,0.005094346179240339,0.6736357534803166
010414,Moldes,0.5015078050274043,0.8479693685036449,0.003135219870807293,0.6534188267077606
010416,Santa Eulália,0.525363403223245,0.8806018741568997,0.0060464954651284,0.6894418400477074
010417,São Miguel do Mato,0.4966537464309453,0.8351412816059522,1.158332464583985e-05,0.6548083743622379
010419,Urrô,0.5486924882878225,0.9603683602071612,0.00059074955693775,0.6851183550993685
010421,União das freguesias de Arouca e Burgo,0.49633506430380986,0.8217524834840207,0.002454108855935728,0.6647986005714731
010422,União das freguesias de Cabreiros e Albergaria da Serra,0.5121426459767544,0.9029645123384112,0.00890628961657906,0.6245571359752728
010423,União das freguesias de Canelas e Espiunca,0.5031916739359006,0.8561652021359794,0.01660425036732501,0.6368055693043977
010424,União das freguesias de Covelo de Paivó e Janarde,0.4864458824166854,0.763536995439831,0.0016679987490009,0.6941326530612244
010702,Espinho,0.4903079185914789,0.7960777490907511,0.004847086000539799,0.6699989206831459
010704,Paramos,0.49744428940712115,0.8220716306018012,0.005088389040851028,0.6651728485787113
010705,Silvalde,0.46964111444653056,0.757775581370798,0.002260792422052699,0.6488869695467412
010706,União das freguesias de Anta e Guetim,0.4836778341785688,0.7814205513128403,0.0023303543128402825,0.6672825969100258
010901,Argoncilhe,0.4914881277457339,0.819656008874964,0.0,0.6548083743622379
010904,Escapães,0.4914881277457339,0.819656008874964,0.0,0.6548083743622379
010908,Fornos,0.4914881277457339,0.819656008874964,0.0,0.6548083743622379
010913,Lourosa,0.4914881277457339,0.819656008874964,0.0,0.6548083743622379
010914,Milheirós de Poiares,0.4914881277457339,0.819656008874964,0.0,0.6548083743622379
010917,Nogueira da Regedoura,0.4922875471760083,0.819656008874964,0.0,0.6572066326530612
010919,Paços de Brandão,0.5316937263143304,0.819656008874964,0.0,0.7754251700680272
010921,Rio Meão,0.4836134940778243,0.795754108079735,0.00027799979150015,0.6548083743622379
010924,Sanguedo,0.4914881277457339,0.819656008874964,0.0,0.6548083743622379
010925,Santa Maria de Lamas,0.4914881277457339,0.819656008874964,0.0,0.6548083743622379
010926,São João de Ver,0.4914881277457339,0.819656008874964,0.0,0.6548083743622379
010932,União das freguesias de Caldas de São Jorge e Pigeiros,0.49587736871563937,0.829085194324343,0.00063708285552115,0.6579098289670541
010933,"União das freguesias de Canedo, Vale e Vila Maior",0.4914881277457339,0.819656008874964,0.0,0.6548083743622379
010934,"União das freguesias de Lobão, Gião, Louredo e Guisande",0.4914881277457339,0.819656008874964,0.0,0.6548083743622379
010935,"União das freguesias de Santa Maria da Feira, Travanca, Sanfins e Espargo",0.496033651582805,0.8188779420570775,0.00015102873288229616,0.6690719839584555
010936,União de freguesias de São Miguel de Souto e Mosteirô,0.5212229187771963,0.819656008874964,0.0,0.7440127474566249
011301,Carregosa,0.4914881277457339,0.819656008874964,0.0,0.6548083743622379
011310,Ossela,0.4873829067484087,0.819656008874964,0.0,0.6424927113702623
011315,São Martinho da Gândara,0.513651432525187,0.819656008874964,0.0,0.7212982887005969
011318,São Roque,0.5383637428057755,0.819656008874964,0.0,0.7954352195423624
011319,Vila de Cucujães,0.4914881277457339,0.819656008874964,0.0,0.6548083743622379
011320,União das freguesias de Nogueira do Cravo e Pindelo,0.49527535505228215,0.819656008874964,0.0,0.6661700562818825
011321,"União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail",0.4961329409884141,0.819656008874964,0.0,0.6687428140902785
011322,"União das freguesias de Pinheiro da Bemposta, Travanca e Palmaz",0.4914881277457339,0.819656008874964,0.0,0.6548083743622379
011601,São João da Madeira,0.4910262192814805,0.819656008874964,0.0,0.6534226489694777
011902,São Pedro de Castelões,0.4895874411595758,0.819656008874964,0.0,0.6491063146037636
011906,Macieira de Cambra,0.5287412463523816,0.7876735505946802,0.0007413327773337333,0.7978088556851312
011907,Roge,0.4914881277457339,0.819656008874964,0.0,0.6548083743622379
011910,"União das freguesias de Vila Chã, Codal e Vila Cova de Perrinho",0.5116831634400674,0.8248863918661055,0.0001505832203959,0.710012515233701
130405,Lomba,0.5003581210591401,0.8457563225307654,0.0005096662844169,0.6548083743622379
130408,Rio Tinto,0.4956382499002841,0.7765222650264313,0.048598803828674875,0.6617936808457463
130412,Baguim do Monte (Rio Tinto),0.4922023267864538,0.8208336754410022,0.010888325167089425,0.6448849797512702
130413,União das freguesias de Fânzeres e São Pedro da Cova,0.4742101915781459,0.793319284850087,0.00244842524701435,0.6268628646373366
130414,União das freguesias de Foz do Sousa e Covelo,0.46643042142355157,0.7479432912495945,0.0043279512994910145,0.6470200217215691
130415,"União das freguesias de Gondomar (São Cosme), Valbom e Jovim",0.4747039486984427,0.7894661662380237,0.004185870317387339,0.6304598095399171
130416,União das freguesias de Melres e Medas,0.46128875747440584,0.7966777973948906,0.00051545794673985,0.586673017081587
130601,Águas Santas,0.49324568083211845,0.8238890647471535,0.0010396033869641125,0.6548083743622379
130603,Folgosa,0.5420179076096888,0.9378557115198464,0.0006949994787503,0.68750301183047
130608,Milheirós,0.4940709370883396,0.8273986452404581,5.791662322919925e-06,0.6548083743622379
